,Date published,url,anger,disgust,fear,joy,sadness,label,score
115,2021-07-28T23:06:08Z,https://www.theguardian.com/sport/live/2021/jul/28/tokyo-2020-olympics-day-five-rowing-medals-womens-time-trial-cycling-diving-and-more-live,error,error,error,error,error,error,error
116,2021-07-27T17:30:39Z,https://www.theguardian.com/australia-news/2021/jul/28/vaccine-advisory-group-urged-australian-health-department-in-2020-to-get-as-much-as-you-can,0.090204,0.096033,0.095235,0.616205,0.205709,positive,0.561339
117,2021-07-24T11:00:21Z,https://www.theguardian.com/commentisfree/2021/jul/24/vaccine-passports-rights-freedoms-covid,0.215199,0.476976,0.114901,0.43763,0.323776,negative,-0.476741
118,2021-07-22T16:13:33Z,https://www.theguardian.com/business/live/2021/jul/22/uk-government-natwest-sale-pingdemic-uk-factories-ecb-meeting-inflation-stock-markets-ftse-business-live,0.141548,0.054291,0.130762,0.147883,0.64657,negative,-0.415704
119,2021-07-22T08:37:03Z,https://www.theguardian.com/australia-news/live/2021/jul/22/australia-covid-live-update-lockdown-covid-gladys-berejiklian-nsw-victoria-southaustralia-sa-coronavirus,0.14787,0.094905,0.121528,0.654289,0.557613,negative,-0.379257
120,2021-07-20T16:22:11Z,https://www.theguardian.com/business/live/2021/jul/20/stock-markets-ftse-bitcoin-economy-dow-housing-steel-business-live,error,error,error,error,error,error,error
121,2021-07-20T00:17:22Z,https://www.theguardian.com/us-news/live/2021/jul/19/microsoft-hack-latest-news-china-biden-doj-warning-infrastructure-bill,0.464819,0.119857,0.11259,0.139423,0.523954,positive,0.285891
122,2021-07-19T10:00:55Z,https://www.theguardian.com/environment/2021/jul/19/big-oil-climate-crisis-lobby-group-api,error,error,error,error,error,error,error
123,2021-07-16T14:14:17Z,https://www.theguardian.com/business/live/2021/jul/16/eu-new-car-sales-rise-as-bank-of-japan-cuts-gdp-economic-growth-forecast-business-live,error,error,error,error,error,error,error
124,2021-07-14T15:13:21Z,https://www.theguardian.com/business/live/2021/jul/14/uk-inflation-rises-transport-factories-house-prices-ftse-sterling-business-live,0.426897,0.076507,0.425481,0.476847,0.501308,negative,-0.354903
125,2021-07-13T17:16:39Z,https://www.theguardian.com/business/live/2021/jul/13/bank-of-england-increased-risk-taking-markets-crypto-dividends-us-inflation-ftse-business-live,0.106415,0.056616,0.470196,0.533048,0.51619,negative,-0.351055
126,2021-07-13T16:38:02Z,https://www.theguardian.com/fashion/2021/jul/13/and-just-like-that-fashion-memes-move-to-the-front-row,0.181882,0.192883,0.03544,0.535872,0.163859,positive,0.623853
127,2021-07-13T10:32:36Z,https://www.theguardian.com/us-news/2021/jul/13/first-thing-texas-democrats-leave-state-to-thwart-voting-restrictions-bill,0.319329,0.116305,0.018743,0.377172,0.330312,negative,-0.508661
128,2021-07-12T17:30:21Z,https://www.theguardian.com/business/grogonomics/2021/jul/13/the-morrison-government-has-fallen-short-in-all-areas-of-the-covid-vaccine-rollout,0.129414,0.024982,0.094335,0.09267,0.774669,negative,-0.751199
